proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name
14.0,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[]
14.0,0x683a4F9915D6216f73d6Df50151725036bD26C02,,,Gauntlet,[]
14.0,0x7AE109A63ff4DC852e063a673b40BED85D22E585,,CalBlockchain,Blockchain at Berkeley,['calblockchain.eth']
16.0,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[]
16.0,0x7AE109A63ff4DC852e063a673b40BED85D22E585,,CalBlockchain,Blockchain at Berkeley,['calblockchain.eth']
16.0,0x2b08869b3e1855437FDa94867f4c6da0122b2f86,,,,[]
16.0,0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,blockchainatucla.eth,blockchainucla,Blockchain at UCLA,['blockchainatucla.eth']
16.0,0x32b8B761C038b030A402AB7d5536b4cddA6dbA9f,otherinternet.eth,,,['otherinternet.eth']
17.0,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,,UMichBlockchain,Blockchain at Michigan,[]
17.0,0x535b3ddD9939056cB6d74D1253Ae1A4Adf5d723A,,she_256,she256,[]
18.0,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,,UMichBlockchain,Blockchain at Michigan,[]
19.0,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[]
19.0,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,Consensys,,[]
19.0,0x7AE109A63ff4DC852e063a673b40BED85D22E585,,CalBlockchain,Blockchain at Berkeley,['calblockchain.eth']
19.0,0x2b08869b3e1855437FDa94867f4c6da0122b2f86,,,,[]
19.0,0xB0623C91c65621df716aB8aFE5f66656B21A9108,johnpalmer.eth,john_c_palmer,,"['lilnoun3.eth', 'noun111.eth', 'browsercompany.eth', 'noun292.eth', 'lilparty.eth', 'jpalmz.eth', 'lilnoun7.eth', 'gathertown.eth', 'partybuy.eth', 'shields.eth', 'icarly.eth', 'lilnoun9.eth', 'johnpalmer.eth', '100gecs.eth', 'partybid.eth', 'lilnoun1.eth', 'jcp.eth', 'lilnoun853.eth', 'b20.eth', 'noun98.eth', 'lilnoun2.eth', 'noun95.eth', 'deathsim.eth', 'spline.eth', 'dorianelectra.eth', 'lilnoun8.eth', 'jasoncalacanis.eth', 'lilnoun0.eth', 'lilnoun5.eth', 'lilnoun6.eth', 'heavensarena.eth', 'chainjail.eth', 'lifesim.eth']"
20.0,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[]
20.0,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,Consensys,,[]
20.0,0x2b08869b3e1855437FDa94867f4c6da0122b2f86,,,,[]
20.0,0xB0623C91c65621df716aB8aFE5f66656B21A9108,johnpalmer.eth,john_c_palmer,,"['lilnoun3.eth', 'noun111.eth', 'browsercompany.eth', 'noun292.eth', 'lilparty.eth', 'jpalmz.eth', 'lilnoun7.eth', 'gathertown.eth', 'partybuy.eth', 'shields.eth', 'icarly.eth', 'lilnoun9.eth', 'johnpalmer.eth', '100gecs.eth', 'partybid.eth', 'lilnoun1.eth', 'jcp.eth', 'lilnoun853.eth', 'b20.eth', 'noun98.eth', 'lilnoun2.eth', 'noun95.eth', 'deathsim.eth', 'spline.eth', 'dorianelectra.eth', 'lilnoun8.eth', 'jasoncalacanis.eth', 'lilnoun0.eth', 'lilnoun5.eth', 'lilnoun6.eth', 'heavensarena.eth', 'chainjail.eth', 'lifesim.eth']"
