voter,compound_name,ens_name,sybil_name,category
0x188C30E9A6527F5F0c3f7fe59B72ac7253C62F28,,excelsior.eth,,
0x8d07D225a769b7Af3A923481E1FdF49180e6A265,MonetSupply,monetsupply.eth,MonetSupply,research-individual
0xCceF9E71e39362F84ad53B8c1e2c4D712c9E609B,,justlinkit.eth,,
0xe1DC8CeA0BeC8A0638E4dD26D9092edab9F60f9B,,,mrpouni,
0x84bb5196F0085D61a7C9AC5B903a26D7f009aC13,,triggerwarning.eth,ChrisBlec,research-individual
0x0eEF9FF29A845403dc29ed4501cCfFe406a16728,,eckpavlov.argent.xyz,,
0x3eC44A823E07555B5f889d8d954eec736eb5865b,,collinpixley.eth,,
0x6F6c0194A67c2727c61370e76042B3D92F3AC35E,,jayprime.eth,,
0xF5f08Ba7F46e2a86b5ef3BFD56c2097C9f4276D7,,,Jomari_P,
0xe3e6cF743e2eE0F4C03a04819fFE2f5644Ba77dd,,davidmirabella.eth,,
0x210A7Ae3a6a53a04CDF43f6a4E5428221c63Cc5a,,,vamsiae,
0xA0D86993bf9593A9186c7F022e31bd0d32808BF1,,tangerinewhistle.eth,,
0xf6b7Af3eaeD85198Ad9c49353485d17b54988e7A,,samstein.eth,,
0x7c8619B5e95BCBF42752d3f2fD297C2aFb4a3B80,,sierraoscar.eth,,
0x2071EE7e947Ea0D6bf1eab41605F8271808D9325,,ozimaster.etherbase.eth,,
0x5D71635D6a90Fa60F506dAadB687e0a389460CbE,,arbchad.eth,,
0x35731d8a7d9CCA0E4c885ed9d4367233746BD757,,siriusreef.eth,,
0x9D41ecceDD6911C60c523D528a326f0DC2b59F4e,,awaseru.eth,,
0x63c410A066d5d12217b713cCac5F600A06ba45e6,,laurapalmer.eth,,
0xC51447aD3B831DFC5603B92bFa46A06637250851,,0xchef.eth,,
0xed44AEf74A7E2B73Ddb272fC3dA329a701ce5A21,,doolb.eth,,
0x5e25c391810eE5Bc705c87FB51c368612982D57a,,daigaro.eth,,
0xCf4ef2Ed078f7115Ca0Dd4BC9294D97E774ec38a,,mario.gweicz.eth,,
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,,topphemlig.eth,,
0xaB5309888C39646bb222a70E0Bc1C69e3326Ee77,,renoeth.eth,,
0x000A0B24B1476f647A2a2fa4474f9ed32C685a8e,,angel-parade.eth,,
0x861DC94E27A34C87c87F1f17761D936Fe20EaA6E,,ebato.abeseba.eth,abeseba1,
0x7D9F9EAeB48E994eda2fA151b8581154cF0719F7,,,hutian280,
0x7bD120e7678F5DF145f7B3c570a5FAB50D69b35f,,spydaweb.eth,,
0xA4ca1b15fE81F57cb2d3f686c7B13309906cd37B,,jaxcoder.eth,,
0x5be10f3434bC1aC6C0A34f86Da39Ea0095392f21,,krow247.eth,,
0x2D2b6f935aB49af9A5588CeA546E325cdBaaa47b,,samuelaf.argent.xyz,,
0xaAeA3F5868de8eb9Bce8cBAa4B4f2d6Dc1b92C95,,,finnbomer,
0x5127C8d44aFfC893f7cc169091f74CEa1FA4F6Cb,,farino.eth,,
0xA63519e67dAe9A551AD34ae679cf0E911a78381A,,batchu.eth,,
