,voter,ens_nondatabase_name,sybil_name,ens_database_name
132,0x8692636D5bD1E3C9BFa7e78c9271EFD40fF4168d,,,[]
133,0xDc52FF28fDA77c9CeA31c8206685fcd6553B8B35,glester.eth,,"['sysop.eth', 'nfthodlr.eth']"
134,0x54EdfD3033818F47110bDa4D4F6B8958B7A316c2,,,[]
135,0x9A560C3ceBB3a8c0f28Efcc43f4D12e942F4eeD7,,,"['earn4life.eth', 'eshare.eth', 'earn2live.eth']"
136,0x7CfA9d20623354638840e87c0F307782850252D5,,,[]
137,0x4065149108A615930114Bb511818fc0909AA9269,,,[]
138,0x64ddaE291eAfF1c56d986C8343fb1bD405b61EE4,,,[]
139,0x6E76E57D18Eb7f60F9f74202ADdf296ff8D4b894,,,[]
140,0x0C4Cfa4ACb56E4b28BD8881c7d08be55f431534F,yoyogau.eth,,['yoyogau.eth']
141,0x10Aa95a9A64b4A72af7f26Ea92C737D99D0D5da8,,,[]
142,0xd9629b59cb9db49C04074AC8b1765095696E25E3,,,[]
143,0xb61C85F9ce87c89C012E06FcdB501ed229a3776f,,,[]
144,0x02f155680D19f53F96d81d9e5B5A500f9bF6e3D0,,,[]
145,0x680c668EAd0c3A5662143b69EF7dE688A1D9D9Ea,,,"['makedat.eth', 'khaosanga.eth', 'sosilu.eth']"
146,0x98dcA2B9CD7d5AE63f87E36809A352140873BA9d,fungibletokn.eth,,['fungibletokn.eth']
147,0xa2D43087aFab1527d1aBA63E172c0B785BC0459D,,,[]
148,0x7c9932eEd5Aa0604FF417B2372B0AA76C5971bD3,venturecap.eth,,"['burgerking🍔.eth', 'newenglandrevolution.eth', 'wakeupjack.eth', 'christmas🎁.eth', 'greenlots.eth', 'bloom🌸.eth', 'ampup.eth', 'evse.eth', 'yennifer.eth', 'evcharger.eth', 'michaelseibel.eth', 'mike🚀.eth', 'buyev.eth', 'matt⚡.eth', 'venturecap.eth']"
149,0xEA16CFaA0c1EDca176c26F300c171C8A827AA9F0,,,[]
150,0xc6Edc5D411d09E38F413b5DB9A11749E24636fF0,,,[]
151,0xF1394140fe0982E40fa9A9846E7c5b0842CECe56,,,['pseudoanonymous.eth']
