proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name,category
88.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
88.0,0xd2362DbB5Aa708Bc454Ce5C3F11050C016764fA6,,,,[],DeFi-app/company
89.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
89.0,0xd2362DbB5Aa708Bc454Ce5C3F11050C016764fA6,,,,[],DeFi-app/company
90.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
90.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
91.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
91.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
92.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
92.0,0x55B16934C3661E1990939bC57322554d9B09f262,,,,[],DeFi-app/company
92.0,0x732a4B05C31da514e30411d79E3E17624579B848,,,,[],DeFi leader/builder
93.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
93.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
94.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
94.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
95.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
95.0,0xF06016D822943C42e3Cb7FC3a6A3B1889C1045f8,,,,"['chickenbonds.eth', 'chickenbond.eth']",DeFi-app/company
95.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
96.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
97.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
97.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
97.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
98.0,0x990daFE818681F8E18d14E2Ae7abD30aE46BF1c2,,,,[],other/anonymous
98.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
99.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
99.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
100.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
100.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
101.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
101.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
